time,roll,pitch,roll_error,pitch_error,roll_vel,pitch_vel,state_vector,control_roll,control_pitch,control_magnitude,raw_control_roll,raw_control_pitch,inertia_roll,inertia_pitch,dt
137.223,0.006083409492872991,1.7811214720234166e-05,-0.006083409492872991,-1.7811214720234166e-05,-0.002334084542212405,-0.022875588068779894,"-0.006083409492872991,-0.002334084542212405,-1.7811214720234166e-05,-0.022875588068779894",0.0005840178960955316,-0.00025736956859386814,0.0006382131288198676,0.00011379370408944712,-0.0005394982395005596,0.00058474,0.00029699,0.016
137.24,0.006083409492872991,1.7811214720234166e-05,-0.006083409492872991,-1.7811214720234166e-05,-0.001867267633769924,-0.018300470455023917,"-0.006083409492872991,-0.001867267633769924,-1.7811214720234166e-05,-0.018300470455023917",0.00044579914352363783,-0.00030962227990424834,0.0005427732791686725,0.00012328872085588593,-0.0004315452729618022,0.00058474,0.00029699,0.017
137.257,-0.004836902815807227,0.010411887878354195,0.004836902815807227,-0.010411887878354195,0.12698044834804545,-0.13692363123030102,"0.004836902815807227,0.12698044834804545,-0.010411887878354195,-0.13692363123030102",0.001048423585220109,-0.0011392243988165927,0.0015482326197651356,0.0024545472825118755,-0.0030749626762787297,0.00058474,0.00029699,0.017
137.275,-0.004836902815807227,0.010411887878354195,0.004836902815807227,-0.010411887878354195,0.10158435867843636,-0.10953890498424082,"0.004836902815807227,0.10158435867843636,-0.010411887878354195,-0.10953890498424082",0.0013152943942240417,-0.001526097590993247,0.002014689355884073,0.0019379929485665514,-0.002428801706072108,0.00058474,0.00029699,0.018
137.29,-0.004836902815807227,0.010411887878354195,0.004836902815807227,-0.010411887878354195,0.0812674869427491,-0.08763112398739266,"0.004836902815807227,0.0812674869427491,-0.010411887878354195,-0.08763112398739266",0.0013781309203799168,-0.0016418301926673159,0.0021435604062543215,0.0015247494814102922,-0.0019118729299068098,0.00058474,0.00029699,0.015
137.307,-0.004836902815807227,0.010411887878354195,0.004836902815807227,-0.010411887878354195,0.06501398955419928,-0.07010489918991412,"0.004836902815807227,0.06501398955419928,-0.010411887878354195,-0.07010489918991412",0.001322938056571527,-0.0015987801075594923,0.002075153713307328,0.0011941547076852847,-0.0014983299089745715,0.00058474,0.00029699,0.017
137.323,-0.024557579222919075,0.022059990613974366,0.024557579222919075,-0.022059990613974366,0.2985196467322575,-0.20168520354718344,"0.024557579222919075,0.2985196467322575,-0.022059990613974366,-0.20168520354718344",0.0025523124892336212,-0.002447759043543397,0.0035363573600452783,0.0054208528321118415,-0.004428709894172508,0.00058474,0.00029699,0.016
137.34,-0.024557579222919075,0.022059990613974366,0.024557579222919075,-0.022059990613974366,0.238815717385806,-0.16134816283774678,"0.024557579222919075,0.238815717385806,-0.022059990613974366,-0.16134816283774678",0.0030485627174105584,-0.0027565104453803175,0.0041099981116147054,0.004206479916490078,-0.0034769303829997994,0.00058474,0.00029699,0.017
137.357,-0.024557579222919075,0.022059990613974366,0.024557579222919075,-0.022059990613974366,0.19105257390864483,-0.12907853027019742,"0.024557579222919075,0.19105257390864483,-0.022059990613974366,-0.12907853027019742",0.0031044883773851907,-0.002744209343984712,0.00414349285131913,0.003234981583992667,-0.002715506774061633,0.00058474,0.00029699,0.017
137.373,-0.024557579222919075,0.022059990613974366,0.024557579222919075,-0.022059990613974366,0.15284205912691587,-0.10326282421615794,"0.024557579222919075,0.15284205912691587,-0.022059990613974366,-0.10326282421615794",0.0029104767395680547,-0.0025528569068626276,0.003871427803599457,0.0024577829179947383,-0.002106367886911099,0.00058474,0.00029699,0.016
